in s,C1 in V,C2 in V
-2.9747887E-01,5.89152E+00,6.66449E+00
-2.9746507E-01,5.97941E+00,6.54730E+00
-2.9745127E-01,5.92082E+00,6.60590E+00
-2.9743747E-01,5.92082E+00,6.66449E+00
-2.9742367E-01,5.89152E+00,6.60590E+00
-2.9740987E-01,5.95012E+00,6.60590E+00
-2.9739607E-01,5.92082E+00,6.66449E+00
-2.9738227E-01,5.89152E+00,6.66449E+00
-2.9736847E-01,5.86223E+00,6.63520E+00
-2.9735467E-01,5.95012E+00,6.57660E+00
-2.9734087E-01,5.80363E+00,6.66449E+00
-2.9732707E-01,5.77434E+00,6.69379E+00
-2.9731327E-01,5.86223E+00,6.72309E+00
-2.9729947E-01,5.86223E+00,6.54730E+00
-2.9728567E-01,5.97941E+00,6.60590E+00
-2.9727187E-01,5.80363E+00,6.57660E+00
-2.9725807E-01,5.86223E+00,6.66449E+00
-2.9724427E-01,5.86223E+00,6.60590E+00
-2.9723047E-01,5.95012E+00,6.69379E+00
-2.9721667E-01,5.83293E+00,6.78168E+00
-2.9720287E-01,5.92082E+00,6.69379E+00
-2.9718907E-01,5.86223E+00,6.57660E+00
-2.9717527E-01,5.83293E+00,6.66449E+00
-2.9716147E-01,5.86223E+00,6.66449E+00
-2.9714767E-01,5.92082E+00,6.72309E+00
-2.9713387E-01,5.86223E+00,6.66449E+00
-2.9712007E-01,5.92082E+00,6.63520E+00
-2.9710627E-01,5.95012E+00,6.63520E+00
-2.9709247E-01,5.86223E+00,6.63520E+00
-2.9707867E-01,5.83293E+00,6.66449E+00
-2.9706487E-01,5.89152E+00,6.72309E+00
-2.9705107E-01,5.97941E+00,6.69379E+00
-2.9703727E-01,5.89152E+00,6.72309E+00
-2.9702347E-01,5.97941E+00,6.69379E+00
-2.9700967E-01,5.80363E+00,6.78168E+00
-2.9699587E-01,5.95012E+00,6.75238E+00
-2.9698207E-01,5.86223E+00,6.69379E+00
-2.9696827E-01,5.89152E+00,6.63520E+00
-2.9695447E-01,5.95012E+00,6.72309E+00
-2.9694067E-01,5.95012E+00,6.78168E+00
-2.9692687E-01,5.92082E+00,6.63520E+00
-2.9691307E-01,5.92082E+00,6.63520E+00
-2.9689927E-01,5.92082E+00,6.72309E+00
-2.9688547E-01,5.92082E+00,6.84027E+00
-2.9687167E-01,5.97941E+00,6.75238E+00
-2.9685787E-01,5.92082E+00,6.66449E+00
-2.9684407E-01,5.92082E+00,6.63520E+00
-2.9683027E-01,5.89152E+00,6.69379E+00
-2.9681647E-01,5.83293E+00,6.72309E+00
-2.9680267E-01,5.92082E+00,6.69379E+00
-2.9678887E-01,5.83293E+00,6.72309E+00
-2.9677507E-01,5.89152E+00,6.75238E+00
-2.9676127E-01,5.95012E+00,6.66449E+00
-2.9674747E-01,5.86223E+00,6.66449E+00
-2.9673367E-01,5.83293E+00,6.78168E+00
-2.9671987E-01,5.92082E+00,6.69379E+00
-2.9670607E-01,5.71574E+00,6.75238E+00
-2.9669227E-01,5.92082E+00,6.81098E+00
-2.9667847E-01,5.83293E+00,6.72309E+00
-2.9666467E-01,5.86223E+00,6.75238E+00
-2.9665087E-01,5.86223E+00,6.66449E+00
-2.9663707E-01,5.80363E+00,6.57660E+00
-2.9662327E-01,5.92082E+00,6.75238E+00
-2.9660947E-01,5.80363E+00,6.72309E+00
-2.9659567E-01,5.95012E+00,6.78168E+00
-2.9658187E-01,5.89152E+00,6.81098E+00
-2.9656807E-01,5.95012E+00,6.72309E+00
-2.9655427E-01,5.92082E+00,6.75238E+00
-2.9654047E-01,5.83293E+00,6.63520E+00
-2.9652667E-01,5.86223E+00,6.69379E+00
-2.9651287E-01,5.86223E+00,6.75238E+00
-2.9649907E-01,5.80363E+00,6.72309E+00
-2.9648527E-01,5.95012E+00,6.63520E+00
-2.9647147E-01,5.97941E+00,6.72309E+00
-2.9645767E-01,6.00871E+00,6.81098E+00
-2.9644387E-01,5.80363E+00,6.78168E+00
-2.9643007E-01,5.89152E+00,6.75238E+00
-2.9641627E-01,5.89152E+00,6.72309E+00
-2.9640247E-01,5.92082E+00,6.78168E+00
-2.9638867E-01,5.83293E+00,6.72309E+00
-2.9637487E-01,5.92082E+00,6.72309E+00
-2.9636107E-01,5.89152E+00,6.72309E+00
-2.9634727E-01,5.83293E+00,6.63520E+00
-2.9633347E-01,5.89152E+00,6.72309E+00
-2.9631967E-01,5.89152E+00,6.75238E+00
-2.9630587E-01,5.92082E+00,6.75238E+00
-2.9629207E-01,5.83293E+00,6.66449E+00
-2.9627827E-01,5.80363E+00,6.75238E+00
-2.9626447E-01,5.92082E+00,6.72309E+00
-2.9625067E-01,5.92082E+00,6.69379E+00
-2.9623687E-01,5.86223E+00,6.78168E+00
-2.9622307E-01,5.89152E+00,6.75238E+00
-2.9620927E-01,5.95012E+00,6.72309E+00
-2.9619547E-01,5.86223E+00,6.72309E+00
-2.9618167E-01,5.92082E+00,6.72309E+00
-2.9616787E-01,5.86223E+00,6.81098E+00
-2.9615407E-01,5.97941E+00,6.72309E+00
-2.9614027E-01,5.95012E+00,6.78168E+00
-2.9612647E-01,5.92082E+00,6.72309E+00
-2.9611267E-01,5.97941E+00,6.69379E+00
-2.9609887E-01,5.80363E+00,6.75238E+00
-2.9608507E-01,5.83293E+00,6.78168E+00
-2.9607127E-01,5.83293E+00,6.78168E+00
-2.9605747E-01,5.92082E+00,6.69379E+00
-2.9604367E-01,5.92082E+00,6.69379E+00
-2.9602987E-01,5.97941E+00,6.72309E+00
-2.9601607E-01,5.86223E+00,6.78168E+00
-2.9600227E-01,5.95012E+00,6.81098E+00
-2.9598847E-01,5.95012E+00,6.63520E+00
-2.9597467E-01,5.83293E+00,6.81098E+00
-2.9596087E-01,5.92082E+00,6.81098E+00
-2.9594707E-01,5.83293E+00,6.78168E+00
-2.9593327E-01,5.92082E+00,6.81098E+00
-2.9591947E-01,5.80363E+00,6.72309E+00
-2.9590567E-01,5.92082E+00,6.72309E+00
-2.9589187E-01,5.89152E+00,6.72309E+00
-2.9587807E-01,5.83293E+00,6.72309E+00
-2.9586427E-01,5.95012E+00,6.66449E+00
-2.9585047E-01,5.92082E+00,6.78168E+00
