in s,C1 in V
-3.858480E-01,3.0237808E+00
-3.857652E-01,3.0232468E+00
-3.856824E-01,3.0233231E+00
-3.855996E-01,3.0231705E+00
-3.855168E-01,3.0233231E+00
-3.854340E-01,3.0229416E+00
-3.853512E-01,3.0229416E+00
-3.852684E-01,3.0235519E+00
-3.851856E-01,3.0232468E+00
-3.851028E-01,3.0233994E+00
-3.850200E-01,3.0230942E+00
-3.849372E-01,3.0230179E+00
-3.848544E-01,3.0225601E+00
-3.847716E-01,3.0227890E+00
-3.846888E-01,3.0233231E+00
-3.846060E-01,3.0233231E+00
-3.845232E-01,3.0234756E+00
-3.844404E-01,3.0238571E+00
-3.843576E-01,3.0243912E+00
-3.842748E-01,3.0243912E+00
-3.841920E-01,3.0238571E+00
-3.841092E-01,3.0233994E+00
-3.840264E-01,3.0231705E+00
-3.839436E-01,3.0234756E+00
-3.838608E-01,3.0229416E+00
-3.837780E-01,3.0233231E+00
-3.836952E-01,3.0231705E+00
-3.836124E-01,3.0230179E+00
-3.835296E-01,3.0232468E+00
-3.834468E-01,3.0234756E+00
-3.833640E-01,3.0233231E+00
-3.832812E-01,3.0233994E+00
-3.831984E-01,3.0237808E+00
-3.831156E-01,3.0243912E+00
-3.830328E-01,3.0243912E+00
-3.829500E-01,3.0246964E+00
-3.828672E-01,3.0244675E+00
-3.827844E-01,3.0237808E+00
-3.827016E-01,3.0234756E+00
-3.826188E-01,3.0233231E+00
-3.825360E-01,3.0229416E+00
-3.824532E-01,3.0233994E+00
-3.823704E-01,3.0233231E+00
-3.822876E-01,3.0231705E+00
-3.822048E-01,3.0226364E+00
-3.821220E-01,3.0225601E+00
-3.820392E-01,3.0229416E+00
-3.819564E-01,3.0227127E+00
-3.818736E-01,3.0230942E+00
-3.817908E-01,3.0233231E+00
-3.817080E-01,3.0233231E+00
-3.816252E-01,3.0231705E+00
-3.815424E-01,3.0233231E+00
-3.814596E-01,3.0230179E+00
-3.813768E-01,3.0226364E+00
-3.812940E-01,3.0227127E+00
-3.812112E-01,3.0229416E+00
-3.811284E-01,3.0227127E+00
-3.810456E-01,3.0229416E+00
-3.809628E-01,3.0227127E+00
-3.808800E-01,3.0224838E+00
-3.807972E-01,3.0232468E+00
-3.807144E-01,3.0232468E+00
-3.806316E-01,3.0234756E+00
-3.805488E-01,3.0235519E+00
-3.804660E-01,3.0233994E+00
-3.803832E-01,3.0233994E+00
-3.803004E-01,3.0232468E+00
-3.802176E-01,3.0235519E+00
-3.801348E-01,3.0230942E+00
-3.800520E-01,3.0229416E+00
-3.799692E-01,3.0227127E+00
-3.798864E-01,3.0225601E+00
-3.798036E-01,3.0221024E+00
-3.797208E-01,3.0223312E+00
-3.796380E-01,3.0226364E+00
-3.795552E-01,3.0227127E+00
-3.794724E-01,3.0232468E+00
-3.793896E-01,3.0228653E+00
-3.793068E-01,3.0227890E+00
-3.792240E-01,3.0230942E+00
-3.791412E-01,3.0232468E+00
-3.790584E-01,3.0233994E+00
-3.789756E-01,3.0239334E+00
-3.788928E-01,3.0240097E+00
-3.788100E-01,3.0240097E+00
-3.787272E-01,3.0235519E+00
-3.786444E-01,3.0231705E+00
-3.785616E-01,3.0237045E+00
-3.784788E-01,3.0232468E+00
-3.783960E-01,3.0233994E+00
-3.783132E-01,3.0233231E+00
-3.782304E-01,3.0230942E+00
-3.781476E-01,3.0229416E+00
-3.780648E-01,3.0235519E+00
-3.779820E-01,3.0232468E+00
-3.778992E-01,3.0232468E+00
-3.778164E-01,3.0230942E+00
-3.777336E-01,3.0227890E+00
-3.776508E-01,3.0228653E+00
-3.775680E-01,3.0229416E+00
-3.774852E-01,3.0235519E+00
-3.774024E-01,3.0234756E+00
-3.773196E-01,3.0228653E+00
-3.772368E-01,3.0228653E+00
-3.771540E-01,3.0231705E+00
-3.770712E-01,3.0230942E+00
-3.769884E-01,3.0229416E+00
-3.769056E-01,3.0228653E+00
-3.768228E-01,3.0230942E+00
-3.767400E-01,3.0230942E+00
-3.766572E-01,3.0233231E+00
-3.765744E-01,3.0225601E+00
-3.764916E-01,3.0222549E+00
-3.764088E-01,3.0226364E+00
-3.763260E-01,3.0230179E+00
-3.762432E-01,3.0234756E+00
-3.761604E-01,3.0235519E+00
-3.760776E-01,3.0236282E+00
-3.759948E-01,3.0237808E+00
-3.759120E-01,3.0240097E+00
-3.758292E-01,3.0238571E+00
-3.757464E-01,3.0234756E+00
-3.756636E-01,3.0232468E+00
-3.755808E-01,3.0231705E+00
-3.754980E-01,3.0231705E+00
-3.754152E-01,3.0237808E+00
-3.753324E-01,3.0237808E+00
-3.752496E-01,3.0239334E+00
-3.751668E-01,3.0237808E+00
-3.750840E-01,3.0242386E+00
-3.750012E-01,3.0235519E+00
-3.749184E-01,3.0237045E+00
-3.748356E-01,3.0238571E+00
-3.747528E-01,3.0231705E+00
-3.746700E-01,3.0232468E+00
-3.745872E-01,3.0228653E+00
-3.745044E-01,3.0232468E+00
-3.744216E-01,3.0233231E+00
-3.743388E-01,3.0231705E+00
-3.742560E-01,3.0228653E+00
