in s,C1 in V
-3.04128E-01,5.4764801E-01
-3.04062E-01,5.4665619E-01
-3.03996E-01,5.4520660E-01
-3.03930E-01,5.4688507E-01
-3.03864E-01,5.4787689E-01
-3.03798E-01,5.4772430E-01
-3.03732E-01,5.4772430E-01
-3.03666E-01,5.4787689E-01
-3.03600E-01,5.4810577E-01
-3.03534E-01,5.4680878E-01
-3.03468E-01,5.4680878E-01
-3.03402E-01,5.4787689E-01
-3.03336E-01,5.4787689E-01
-3.03270E-01,5.4780060E-01
-3.03204E-01,5.4825836E-01
-3.03138E-01,5.4795319E-01
-3.03072E-01,5.4818207E-01
-3.03006E-01,5.4825836E-01
-3.02940E-01,5.4947906E-01
-3.02874E-01,5.4947906E-01
-3.02808E-01,5.4841095E-01
-3.02742E-01,5.4917389E-01
-3.02676E-01,5.4963165E-01
-3.02610E-01,5.4894501E-01
-3.02544E-01,5.5001312E-01
-3.02478E-01,5.5108124E-01
-3.02412E-01,5.4848724E-01
-3.02346E-01,5.4940277E-01
-3.02280E-01,5.5054718E-01
-3.02214E-01,5.4863983E-01
-3.02148E-01,5.4818207E-01
-3.02082E-01,5.4825836E-01
-3.02016E-01,5.4986053E-01
-3.01950E-01,5.4963165E-01
-3.01884E-01,5.4970795E-01
-3.01818E-01,5.4863983E-01
-3.01752E-01,5.4863983E-01
-3.01686E-01,5.4856354E-01
-3.01620E-01,5.5016571E-01
-3.01554E-01,5.4986053E-01
-3.01488E-01,5.4940277E-01
-3.01422E-01,5.4818207E-01
-3.01356E-01,5.4856354E-01
-3.01290E-01,5.4879242E-01
-3.01224E-01,5.4818207E-01
-3.01158E-01,5.4833466E-01
-3.01092E-01,5.4863983E-01
-3.01026E-01,5.4848724E-01
-3.00960E-01,5.4986053E-01
-3.00894E-01,5.5001312E-01
-3.00828E-01,5.5047089E-01
-3.00762E-01,5.5062347E-01
-3.00696E-01,5.5047089E-01
-3.00630E-01,5.4947906E-01
-3.00564E-01,5.4932648E-01
-3.00498E-01,5.5039459E-01
-3.00432E-01,5.4886871E-01
-3.00366E-01,5.4757172E-01
-3.00300E-01,5.4566437E-01
-3.00234E-01,5.4665619E-01
-3.00168E-01,5.4757172E-01
-3.00102E-01,5.4818207E-01
-3.00036E-01,5.4917389E-01
-2.99970E-01,5.4886871E-01
-2.99904E-01,2.4446970E+00
-2.99838E-01,2.6917368E+00
-2.99772E-01,2.6964670E+00
-2.99706E-01,2.6979929E+00
-2.99640E-01,2.6995950E+00
-2.99574E-01,2.7006631E+00
-2.99508E-01,2.6999002E+00
-2.99442E-01,2.7011972E+00
-2.99376E-01,2.7027994E+00
-2.99310E-01,2.7039438E+00
-2.99244E-01,2.7034860E+00
-2.99178E-01,2.7033334E+00
-2.99112E-01,2.7038675E+00
-2.99046E-01,2.7047830E+00
-2.98980E-01,2.7054697E+00
-2.98914E-01,2.7073007E+00
-2.98848E-01,2.7068430E+00
-2.98782E-01,2.7063852E+00
-2.98716E-01,2.7082162E+00
-2.98650E-01,2.7085977E+00
-2.98584E-01,2.7080637E+00
-2.98518E-01,2.7075296E+00
-2.98452E-01,2.7086740E+00
-2.98386E-01,2.7090555E+00
-2.98320E-01,2.7086740E+00
-2.98254E-01,2.7073007E+00
-2.98188E-01,2.7058511E+00
-2.98122E-01,2.7088266E+00
-2.98056E-01,2.7067667E+00
-2.97990E-01,2.7051645E+00
-2.97924E-01,2.7088266E+00
-2.97858E-01,2.7092844E+00
-2.97792E-01,2.7089029E+00
-2.97726E-01,2.7087503E+00
-2.97660E-01,2.7083688E+00
-2.97594E-01,2.7080637E+00
-2.97528E-01,2.7085977E+00
-2.97462E-01,2.7087503E+00
-2.97396E-01,2.7085977E+00
-2.97330E-01,2.7078348E+00
-2.97264E-01,2.7075296E+00
-2.97198E-01,2.7090555E+00
-2.97132E-01,2.7064615E+00
-2.97066E-01,2.7063089E+00
-2.97000E-01,2.7058511E+00
-2.96934E-01,2.7080637E+00
-2.96868E-01,2.7092844E+00
-2.96802E-01,2.7080637E+00
-2.96736E-01,2.7088266E+00
-2.96670E-01,2.7094370E+00
-2.96604E-01,2.7085214E+00
-2.96538E-01,2.7085977E+00
-2.96472E-01,2.7086740E+00
-2.96406E-01,2.7080637E+00
-2.96340E-01,2.7077585E+00
-2.96274E-01,2.7083688E+00
-2.96208E-01,2.7085977E+00
-2.96142E-01,2.7076822E+00
-2.96076E-01,2.7082162E+00
-2.96010E-01,2.7086740E+00
-2.95944E-01,2.7085977E+00
-2.95878E-01,2.7087503E+00
-2.95812E-01,2.7079111E+00
-2.95746E-01,2.7082925E+00
-2.95680E-01,2.7087503E+00
-2.95614E-01,2.7083688E+00
-2.95548E-01,2.7080637E+00
-2.95482E-01,2.7079111E+00
-2.95416E-01,2.7109628E+00
-2.95350E-01,2.7088266E+00
-2.95284E-01,2.7075296E+00
-2.95218E-01,2.7089792E+00
-2.95152E-01,2.7092081E+00
-2.95086E-01,2.7092081E+00
-2.95020E-01,2.7086740E+00
-2.94954E-01,2.7069193E+00
-2.94888E-01,2.7075296E+00
-2.94822E-01,2.7079111E+00
-2.94756E-01,2.7085214E+00
-2.94690E-01,2.7093607E+00
-2.94624E-01,2.7092844E+00
-2.94558E-01,2.7092081E+00
-2.94492E-01,2.7079111E+00
-2.94426E-01,2.7078348E+00
-2.94360E-01,2.7079111E+00
-2.94294E-01,2.7082162E+00
-2.94228E-01,2.7081400E+00
-2.94162E-01,2.7081400E+00
-2.94096E-01,2.7090555E+00
-2.94030E-01,2.7095895E+00
-2.93964E-01,2.7085214E+00
-2.93898E-01,2.7080637E+00
-2.93832E-01,2.7083688E+00
-2.93766E-01,2.7086740E+00
-2.93700E-01,2.7085977E+00
-2.93634E-01,2.7089029E+00
-2.93568E-01,2.7090555E+00
-2.93502E-01,2.7072244E+00
-2.93436E-01,2.7075296E+00
-2.93370E-01,2.7077585E+00
-2.93304E-01,2.7079874E+00
-2.93238E-01,2.7086740E+00
-2.93172E-01,2.7084451E+00
-2.93106E-01,2.7083688E+00
-2.93040E-01,2.7083688E+00
-2.92974E-01,2.7083688E+00
-2.92908E-01,2.7084451E+00
-2.92842E-01,2.7090555E+00
-2.92776E-01,2.7092844E+00
-2.92710E-01,2.7095132E+00
-2.92644E-01,2.7091318E+00
-2.92578E-01,2.7081400E+00
-2.92512E-01,2.7076822E+00
-2.92446E-01,2.7089792E+00
-2.92380E-01,2.7094370E+00
-2.92314E-01,2.7097421E+00
-2.92248E-01,2.7093607E+00
-2.92182E-01,2.7089792E+00
-2.92116E-01,2.7079874E+00
-2.92050E-01,2.7073007E+00
-2.91984E-01,2.7077585E+00
-2.91918E-01,2.7084451E+00
-2.91852E-01,2.7089792E+00
-2.91786E-01,2.7105814E+00
-2.91720E-01,2.7098184E+00
-2.91654E-01,2.7082925E+00
-2.91588E-01,2.7066141E+00
-2.91522E-01,2.7077585E+00
-2.91456E-01,2.7075296E+00
-2.91390E-01,2.7073007E+00
-2.91324E-01,2.7098184E+00
-2.91258E-01,2.7093607E+00
-2.91192E-01,2.7093607E+00
-2.91126E-01,2.7082925E+00
-2.91060E-01,2.7086740E+00
-2.90994E-01,2.7087503E+00
-2.90928E-01,2.7094370E+00
-2.90862E-01,2.7098947E+00
-2.90796E-01,2.7094370E+00
-2.90730E-01,2.7089029E+00
-2.90664E-01,2.7098184E+00
-2.90598E-01,2.7095895E+00
-2.90532E-01,2.7095895E+00
-2.90466E-01,2.7094370E+00
-2.90400E-01,2.7086740E+00
-2.90334E-01,2.7093607E+00
-2.90268E-01,2.7092844E+00
-2.90202E-01,2.7089029E+00
-2.90136E-01,2.7085977E+00
-2.90070E-01,2.7083688E+00
-2.90004E-01,2.7074533E+00
-2.89938E-01,2.7095132E+00
-2.89872E-01,2.7092081E+00
-2.89806E-01,2.7101999E+00
-2.89740E-01,2.7096658E+00
-2.89674E-01,2.7082162E+00
-2.89608E-01,2.7082162E+00
-2.89542E-01,2.7082162E+00
-2.89476E-01,2.7081400E+00
-2.89410E-01,2.7088266E+00
-2.89344E-01,2.7082925E+00
-2.89278E-01,2.7075296E+00
-2.89212E-01,2.7094370E+00
-2.89146E-01,2.7098184E+00
-2.89080E-01,2.7093607E+00
-2.89014E-01,2.7075296E+00
-2.88948E-01,2.7082162E+00
-2.88882E-01,2.7096658E+00
-2.88816E-01,2.7064615E+00
-2.88750E-01,2.7060800E+00
-2.88684E-01,2.7095895E+00
-2.88618E-01,2.7095895E+00
-2.88552E-01,2.7087503E+00
-2.88486E-01,2.7088266E+00
-2.88420E-01,2.7080637E+00
-2.88354E-01,2.7085977E+00
-2.88288E-01,2.7093607E+00
-2.88222E-01,2.7088266E+00
-2.88156E-01,2.7091318E+00
-2.88090E-01,2.7085214E+00
-2.88024E-01,2.7078348E+00
-2.87958E-01,2.7076822E+00
-2.87892E-01,2.7083688E+00
-2.87826E-01,2.7080637E+00
-2.87760E-01,2.7082162E+00
-2.87694E-01,2.7100473E+00
-2.87628E-01,2.7086740E+00
-2.87562E-01,2.7085214E+00
-2.87496E-01,2.7092844E+00
-2.87430E-01,2.7092844E+00
-2.87364E-01,2.7094370E+00
-2.87298E-01,2.7092844E+00
-2.87232E-01,2.7094370E+00
-2.87166E-01,2.7092844E+00
-2.87100E-01,2.7086740E+00
-2.87034E-01,2.7098184E+00
-2.86968E-01,2.7095895E+00
-2.86902E-01,2.7089792E+00
-2.86836E-01,2.7093607E+00
-2.86770E-01,2.7092844E+00
-2.86704E-01,2.7092844E+00
-2.86638E-01,2.7106577E+00
-2.86572E-01,2.7128702E+00
-2.86506E-01,2.7112680E+00
-2.86440E-01,2.7101999E+00
-2.86374E-01,2.7088266E+00
-2.86308E-01,2.7073770E+00
-2.86242E-01,2.7084451E+00
-2.86176E-01,2.7088266E+00
-2.86110E-01,2.7081400E+00
-2.86044E-01,2.7083688E+00
-2.85978E-01,2.7089792E+00
-2.85912E-01,2.7092081E+00
-2.85846E-01,2.7086740E+00
-2.85780E-01,2.7084451E+00
-2.85714E-01,2.7088266E+00
-2.85648E-01,2.7086740E+00
-2.85582E-01,2.7086740E+00
-2.85516E-01,2.7114206E+00
-2.85450E-01,2.7105814E+00
-2.85384E-01,2.7076059E+00
-2.85318E-01,2.7092844E+00
-2.85252E-01,2.7085977E+00
-2.85186E-01,2.7078348E+00
-2.85120E-01,2.7082162E+00
-2.85054E-01,2.7082162E+00
-2.84988E-01,2.7088266E+00
-2.84922E-01,2.7079874E+00
-2.84856E-01,2.7078348E+00
-2.84790E-01,2.7069955E+00
-2.84724E-01,2.7075296E+00
-2.84658E-01,2.7083688E+00
-2.84592E-01,2.7073770E+00
-2.84526E-01,2.7092844E+00
-2.84460E-01,2.7085214E+00
-2.84394E-01,2.7026468E+00
-2.84328E-01,2.7063089E+00
-2.84262E-01,2.7081400E+00
-2.84196E-01,2.7073770E+00
-2.84130E-01,2.7087503E+00
-2.84064E-01,2.7095132E+00
-2.83998E-01,2.7086740E+00
-2.83932E-01,2.7093607E+00
-2.83866E-01,2.7092081E+00
-2.83800E-01,2.7093607E+00
-2.83734E-01,2.7093607E+00
-2.83668E-01,2.7088266E+00
-2.83602E-01,2.7085977E+00
-2.83536E-01,2.7082925E+00
-2.83470E-01,2.7082925E+00
-2.83404E-01,2.7097421E+00
-2.83338E-01,2.7081400E+00
-2.83272E-01,2.7076822E+00
-2.83206E-01,2.7085214E+00
-2.83140E-01,2.7092844E+00
-2.83074E-01,2.7095895E+00
-2.83008E-01,2.7082162E+00
-2.82942E-01,2.7093607E+00
-2.82876E-01,2.7101999E+00
-2.82810E-01,2.7092844E+00
-2.82744E-01,2.7089029E+00
-2.82678E-01,2.7092081E+00
-2.82612E-01,2.7102762E+00
-2.82546E-01,2.7094370E+00
-2.82480E-01,2.7082162E+00
-2.82414E-01,2.7084451E+00
-2.82348E-01,2.7087503E+00
-2.82282E-01,2.7098947E+00
-2.82216E-01,2.7135568E+00
-2.82150E-01,2.7116495E+00
-2.82084E-01,2.7093607E+00
-2.82018E-01,2.7095132E+00
-2.81952E-01,2.7094370E+00
-2.81886E-01,2.7102762E+00
-2.81820E-01,2.7085977E+00
-2.81754E-01,2.7078348E+00
-2.81688E-01,2.7068430E+00
-2.81622E-01,2.7083688E+00
-2.81556E-01,2.7087503E+00
-2.81490E-01,2.7079111E+00
-2.81424E-01,2.7083688E+00
-2.81358E-01,2.7087503E+00
-2.81292E-01,2.7082162E+00
-2.81226E-01,2.7079111E+00
-2.81160E-01,2.7073007E+00
-2.81094E-01,2.7069193E+00
-2.81028E-01,2.7059274E+00
-2.80962E-01,2.7067667E+00
-2.80896E-01,2.7097421E+00
-2.80830E-01,2.7101999E+00
-2.80764E-01,2.7101999E+00
-2.80698E-01,2.7088266E+00
-2.80632E-01,2.7089792E+00
-2.80566E-01,2.7084451E+00
-2.80500E-01,2.7080637E+00
-2.80434E-01,2.7082162E+00
-2.80368E-01,2.7083688E+00
-2.80302E-01,2.7082162E+00
-2.80236E-01,2.7090555E+00
-2.80170E-01,2.7089792E+00
-2.80104E-01,2.7082162E+00
-2.80038E-01,2.7080637E+00
-2.79972E-01,2.7085214E+00
-2.79906E-01,2.7069193E+00
-2.79840E-01,2.7066904E+00
-2.79774E-01,2.7071481E+00
-2.79708E-01,2.7087503E+00
-2.79642E-01,2.7088266E+00
-2.79576E-01,2.7092081E+00
-2.79510E-01,2.7069193E+00
-2.79444E-01,2.7080637E+00
-2.79378E-01,2.7091318E+00
-2.79312E-01,2.7075296E+00
-2.79246E-01,2.7085214E+00
-2.79180E-01,2.7094370E+00
-2.79114E-01,2.7073007E+00
-2.79048E-01,2.7078348E+00
-2.78982E-01,2.7074533E+00
-2.78916E-01,2.7070718E+00
