in s,C1 in V,C2 in V,C3 in V
4.380000E-02,1.40381E+01,1.11084E+01,1.24023E-01
4.380000E-02,1.49170E+01,1.20850E+01,2.37305E-01
4.440000E-02,1.40381E+01,1.13037E+01,1.24023E-01
4.440000E-02,1.49170E+01,1.21338E+01,2.37305E-01
4.500000E-02,1.41357E+01,1.07666E+01,1.27930E-01
4.500000E-02,1.49170E+01,1.21338E+01,2.15820E-01
4.560000E-02,1.41357E+01,1.07666E+01,1.29883E-01
4.560000E-02,1.48682E+01,1.19873E+01,2.11914E-01
4.620000E-02,1.41357E+01,1.06689E+01,1.37695E-01
4.620000E-02,1.49170E+01,1.17920E+01,2.00195E-01
4.680000E-02,1.41846E+01,1.06689E+01,1.37695E-01
4.680000E-02,1.49170E+01,1.15479E+01,1.86523E-01
4.740000E-02,1.41846E+01,1.06689E+01,1.27930E-01
4.740000E-02,1.49170E+01,1.17432E+01,1.86523E-01
4.800000E-02,1.41846E+01,1.07666E+01,1.27930E-01
4.800000E-02,1.49170E+01,1.19873E+01,1.84570E-01
4.860000E-02,1.41846E+01,1.10107E+01,1.25977E-01
4.860000E-02,1.48682E+01,1.22803E+01,1.82617E-01
4.920000E-02,1.41846E+01,1.13037E+01,1.25977E-01
4.920000E-02,1.48682E+01,1.24756E+01,1.92383E-01
4.980000E-02,1.41846E+01,1.15479E+01,1.16211E-01
4.980000E-02,1.49170E+01,1.25244E+01,2.06055E-01
5.040000E-02,1.41357E+01,1.16943E+01,1.14258E-01
5.040000E-02,1.49170E+01,1.25732E+01,2.06055E-01
5.100000E-02,1.41357E+01,1.14502E+01,1.12305E-01
5.100000E-02,1.49170E+01,1.25732E+01,2.06055E-01
5.160000E-02,1.41846E+01,1.11572E+01,1.12305E-01
5.160000E-02,1.49170E+01,1.25244E+01,2.06055E-01
5.220000E-02,1.41846E+01,1.11572E+01,1.35742E-01
5.220000E-02,1.49170E+01,1.22314E+01,1.82617E-01
5.280000E-02,1.41846E+01,1.12549E+01,1.14258E-01
5.280000E-02,1.49170E+01,1.21338E+01,1.98242E-01
5.340000E-02,1.41846E+01,1.13037E+01,1.14258E-01
5.340000E-02,1.49170E+01,1.23779E+01,1.98242E-01
5.400000E-02,1.41357E+01,1.14014E+01,1.20117E-01
5.400000E-02,1.49170E+01,1.26221E+01,1.96289E-01
5.460000E-02,1.41357E+01,1.16943E+01,1.37695E-01
5.460000E-02,1.49170E+01,1.29150E+01,1.90430E-01
5.520000E-02,1.41846E+01,1.19385E+01,1.35742E-01
5.520000E-02,1.49170E+01,1.30127E+01,1.86523E-01
5.580000E-02,1.41846E+01,1.22314E+01,1.29883E-01
5.580000E-02,1.49170E+01,1.30615E+01,1.80664E-01
5.640000E-02,1.41846E+01,1.18896E+01,1.29883E-01
5.640000E-02,1.49170E+01,1.30615E+01,1.78711E-01
5.700000E-02,1.41846E+01,1.14502E+01,1.20117E-01
5.700000E-02,1.49170E+01,1.30127E+01,1.76758E-01
5.760000E-02,1.41846E+01,1.14502E+01,1.14258E-01
5.760000E-02,1.49170E+01,1.27686E+01,1.78711E-01
5.820000E-02,1.41846E+01,1.15967E+01,1.08398E-01
5.820000E-02,1.49170E+01,1.26709E+01,1.86523E-01
5.880000E-02,1.41846E+01,1.15967E+01,1.00586E-01
5.880000E-02,1.49170E+01,1.26709E+01,1.96289E-01
5.940000E-02,1.41846E+01,1.16943E+01,9.47266E-02
5.940000E-02,1.49170E+01,1.29639E+01,1.96289E-01
6.000000E-02,1.41846E+01,1.19873E+01,9.47266E-02
6.000000E-02,1.49170E+01,1.32568E+01,1.96289E-01
6.060000E-02,1.41846E+01,1.23291E+01,1.20117E-01
6.060000E-02,1.49170E+01,1.34033E+01,1.74805E-01
6.120000E-02,1.41846E+01,1.25732E+01,9.47266E-02
6.120000E-02,1.49658E+01,1.35010E+01,1.88477E-01
6.180000E-02,1.41846E+01,1.24268E+01,9.47266E-02
6.180000E-02,1.49658E+01,1.35010E+01,1.88477E-01
6.240000E-02,1.41846E+01,1.18896E+01,9.66797E-02
6.240000E-02,1.49658E+01,1.34033E+01,1.78711E-01
6.300000E-02,1.42334E+01,1.18408E+01,1.12305E-01
6.300000E-02,1.49658E+01,1.33545E+01,1.65039E-01
6.360000E-02,1.41846E+01,1.18408E+01,1.14258E-01
6.360000E-02,1.49658E+01,1.28662E+01,1.63086E-01
6.420000E-02,1.41846E+01,1.18408E+01,1.12305E-01
6.420000E-02,1.49170E+01,1.28174E+01,1.63086E-01
6.480000E-02,1.42334E+01,1.19385E+01,1.12305E-01
6.480000E-02,1.49170E+01,1.31592E+01,1.63086E-01
6.540000E-02,1.41846E+01,1.20850E+01,1.04492E-01
6.540000E-02,1.49170E+01,1.35010E+01,1.61133E-01
6.600000E-02,1.41846E+01,1.24756E+01,9.27734E-02
6.600000E-02,1.49170E+01,1.36475E+01,1.68945E-01
6.660000E-02,1.41846E+01,1.28174E+01,8.88672E-02
6.660000E-02,1.49658E+01,1.36963E+01,1.70898E-01
6.720000E-02,1.42334E+01,1.27686E+01,8.30078E-02
6.720000E-02,1.49658E+01,1.36963E+01,1.76758E-01
6.780000E-02,1.42334E+01,1.23779E+01,8.10547E-02
6.780000E-02,1.49170E+01,1.36963E+01,1.76758E-01
6.840000E-02,1.41846E+01,1.22314E+01,8.10547E-02
6.840000E-02,1.49170E+01,1.35498E+01,1.76758E-01
6.900000E-02,1.41846E+01,1.22314E+01,9.47266E-02
6.900000E-02,1.49658E+01,1.32080E+01,1.76758E-01
6.960000E-02,1.41846E+01,1.22314E+01,8.88672E-02
6.960000E-02,1.49658E+01,1.32568E+01,1.76758E-01
7.020000E-02,1.42334E+01,1.22803E+01,8.88672E-02
7.020000E-02,1.49658E+01,1.35986E+01,1.76758E-01
7.080000E-02,1.42334E+01,1.25732E+01,9.27734E-02
7.080000E-02,1.49658E+01,1.38916E+01,1.74805E-01
7.140000E-02,1.42334E+01,1.29150E+01,1.06445E-01
7.140000E-02,1.49658E+01,1.40381E+01,1.57227E-01
7.200000E-02,1.42334E+01,1.31592E+01,1.06445E-01
7.200000E-02,1.49170E+01,1.40381E+01,1.51367E-01
7.260000E-02,1.41846E+01,1.29639E+01,1.06445E-01
7.260000E-02,1.49170E+01,1.40381E+01,1.53320E-01
7.320000E-02,1.41846E+01,1.25244E+01,1.08398E-01
7.320000E-02,1.49170E+01,1.40381E+01,1.57227E-01
7.380000E-02,1.42334E+01,1.25244E+01,1.04492E-01
7.380000E-02,1.49658E+01,1.36475E+01,1.63086E-01
7.440000E-02,1.42334E+01,1.25732E+01,9.47266E-02
7.440000E-02,1.49658E+01,1.35498E+01,1.68945E-01
7.500000E-02,1.42334E+01,1.26221E+01,8.10547E-02
7.500000E-02,1.50146E+01,1.37939E+01,1.68945E-01
7.560000E-02,1.41846E+01,1.28174E+01,7.32422E-02
7.560000E-02,1.50146E+01,1.41357E+01,1.74805E-01
7.620000E-02,1.41846E+01,1.31104E+01,7.32422E-02
7.620000E-02,1.49658E+01,1.43799E+01,1.74805E-01
7.680000E-02,1.42334E+01,1.34521E+01,7.71484E-02
7.680000E-02,1.49658E+01,1.44775E+01,1.68945E-01
7.740000E-02,1.42334E+01,1.33057E+01,8.49609E-02
7.740000E-02,1.49658E+01,1.44775E+01,1.72852E-01
7.800000E-02,1.42334E+01,1.28174E+01,8.30078E-02
7.800000E-02,1.49658E+01,1.44287E+01,1.72852E-01
7.860000E-02,1.42334E+01,1.27197E+01,8.30078E-02
7.860000E-02,1.50146E+01,1.40381E+01,1.70898E-01
7.920000E-02,1.42334E+01,1.26221E+01,8.69141E-02
7.920000E-02,1.50146E+01,1.35986E+01,1.63086E-01
7.980000E-02,1.42334E+01,1.26221E+01,9.47266E-02
7.980000E-02,1.49658E+01,1.38916E+01,1.47461E-01
8.040000E-02,1.42334E+01,1.28174E+01,9.47266E-02
8.040000E-02,1.49658E+01,1.42822E+01,1.45508E-01
8.100000E-02,1.42334E+01,1.31592E+01,9.66797E-02
8.100000E-02,1.50146E+01,1.45752E+01,1.43555E-01
8.160000E-02,1.42334E+01,1.35498E+01,9.66797E-02
8.160000E-02,1.50146E+01,1.46240E+01,1.47461E-01
8.220000E-02,1.42334E+01,1.37451E+01,9.66797E-02
8.220000E-02,1.49658E+01,1.46240E+01,1.51367E-01
8.280000E-02,1.42334E+01,1.31104E+01,7.91016E-02
8.280000E-02,1.50146E+01,1.46240E+01,1.65039E-01
8.340000E-02,1.42334E+01,1.30615E+01,7.91016E-02
8.340000E-02,1.50146E+01,1.45264E+01,1.65039E-01
8.400000E-02,1.42334E+01,1.30127E+01,6.15234E-02
8.400000E-02,1.49658E+01,1.38916E+01,1.65039E-01
8.460000E-02,1.42334E+01,1.30127E+01,6.15234E-02
8.460000E-02,1.49658E+01,1.40869E+01,1.65039E-01
8.520000E-02,1.42334E+01,1.31104E+01,7.12891E-02
8.520000E-02,1.49658E+01,1.44775E+01,1.55273E-01
8.580000E-02,1.42334E+01,1.33545E+01,7.12891E-02
8.580000E-02,1.49658E+01,1.47705E+01,1.57227E-01
8.640000E-02,1.41846E+01,1.37939E+01,6.73828E-02
8.640000E-02,1.49658E+01,1.48682E+01,1.61133E-01
8.700000E-02,1.41846E+01,1.40381E+01,6.73828E-02
8.700000E-02,1.49658E+01,1.48682E+01,1.61133E-01
8.760000E-02,1.42334E+01,1.34033E+01,7.91016E-02
8.760000E-02,1.49658E+01,1.48682E+01,1.61133E-01
8.820000E-02,1.42334E+01,1.33545E+01,8.88672E-02
8.820000E-02,1.49658E+01,1.48193E+01,1.43555E-01
8.880000E-02,1.42334E+01,1.33545E+01,8.88672E-02
8.880000E-02,1.50146E+01,1.42822E+01,1.39648E-01
8.940000E-02,1.41846E+01,1.33545E+01,8.88672E-02
8.940000E-02,1.50146E+01,1.44775E+01,1.39648E-01
9.000000E-02,1.41846E+01,1.34033E+01,9.08203E-02
9.000000E-02,1.49658E+01,1.47217E+01,1.41602E-01
9.060000E-02,1.42334E+01,1.36963E+01,8.49609E-02
9.060000E-02,1.49658E+01,1.50146E+01,1.43555E-01
9.120000E-02,1.42334E+01,1.40381E+01,7.32422E-02
9.120000E-02,1.49658E+01,1.51123E+01,1.53320E-01
9.180000E-02,1.41846E+01,1.42334E+01,7.32422E-02
9.180000E-02,1.49658E+01,1.51123E+01,1.55273E-01
9.240000E-02,1.41846E+01,1.34033E+01,5.76172E-02
9.240000E-02,1.50146E+01,1.51123E+01,1.57227E-01
9.300000E-02,1.42334E+01,1.34033E+01,5.76172E-02
9.300000E-02,1.50146E+01,1.50146E+01,1.57227E-01
9.360000E-02,1.42334E+01,1.35498E+01,6.15234E-02
